iter	Passed	Remaining
271	3525	2955
272	3533	2937
273	3540	2920
274	3549	2903
275	3556	2886
276	3593	2893
277	3601	2876
278	3609	2859
279	3617	2842
280	3625	2825
281	3633	2809
282	3641	2792
283	3650	2776
284	3658	2759
285	3666	2743
286	3675	2727
287	3683	2711
288	3691	2695
289	3698	2678
290	3706	2661
291	3714	2645
292	3722	2630
293	3730	2613
294	3738	2597
295	3762	2592
296	3770	2577
297	3778	2561
298	3791	2548
299	3799	2532
300	3807	2517
301	3815	2501
302	3824	2486
303	3833	2471
304	3841	2456
305	3849	2440
306	3884	2441
307	3892	2426
308	3900	2410
309	3907	2395
310	3916	2380
311	3924	2364
312	3960	2366
313	3968	2350
314	3976	2335
315	3985	2320
316	4004	2311
317	4012	2296
318	4021	2281
319	4028	2265
320	4036	2250
321	4043	2235
322	4052	2220
323	4060	2205
324	4081	2197
325	4090	2183
326	4128	2184
327	4135	2168
328	4144	2154
329	4152	2139
330	4160	2124
331	4169	2109
332	4177	2094
333	4189	2082
334	4196	2067
335	4220	2059
336	4228	2045
337	4235	2030
338	4243	2015
339	4251	2000
340	4258	1985
341	4268	1971
342	4277	1957
343	4284	1942
344	4292	1928
345	4312	1919
346	4320	1904
347	4341	1896
348	4357	1885
349	4372	1873
350	4380	1859
351	4404	1851
352	4412	1837
353	4421	1823
354	4428	1808
355	4436	1794
356	4444	1780
357	4451	1765
358	4459	1751
359	4468	1737
360	4475	1723
361	4483	1709
362	4510	1702
363	4525	1690
364	4533	1676
365	4540	1662
366	4557	1651
367	4571	1639
368	4579	1625
369	4587	1611
370	4595	1597
371	4603	1583
372	4611	1570
373	4619	1556
374	4633	1544
375	4640	1530
376	4651	1517
377	4659	1503
378	4666	1489
379	4679	1477
380	4686	1463
381	4694	1450
382	4702	1436
383	4711	1423
384	4719	1409
385	4727	1396
386	4735	1382
387	4756	1372
388	4764	1359
389	4772	1345
390	4779	1332
391	4788	1319
392	4796	1305
393	4831	1299
394	4839	1286
395	4849	1273
396	4857	1260
397	4895	1254
398	4903	1241
399	4911	1227
400	4918	1214
401	4926	1200
402	4957	1193
403	4965	1179
404	4973	1166
405	4980	1153
406	4987	1139
